,l_mean,l_std,l_entropy,l_ggd1,l_ggd2,l_aggd1,l_aggd2,l_aggd3,l_aggd4,l_gamma1,l_gamma2,a_mean,a_std,a_entropy,a_ggd1,a_ggd2,a_aggd1,a_aggd2,a_aggd3,a_aggd4,a_gamma1,a_gamma2,b_mean,b_std,b_entropy,b_ggd1,b_ggd2,b_aggd1,b_aggd2,b_aggd3,b_aggd4,b_gamma1,b_gamma2,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4
exposure_bin_new_dark_old_input,31.36655000090559,19.3304769446623,6.425624355744491,3.6502555808223747,6.15596103924002,6.212750218927133,-14.94335118393997,9.476808838502299,6.247440424336903,0.04891645163297653,0.043227970600128174,6.155194150349692,1.308000000000001,0.06526756286621094,2.6240000000000023,0.5461814692662261,0.6953239440917969,1.3621246814727783,1.2816144802073381,0.03816783773003695,0.9198340177536011,0.07911425828933716,5.922928636493286,10.000000000000007,0.9232271313667297,2.0060000000000016,-0.636948308544009,1.4407837390899658,0.6427587866783142,135.29650125945045,0.006798653040554553,0.5308703184127808,0.19806864857673645,6.3956642759129245,10.000000000000007,0.5665866732597351,2.594000000000002,-0.08289235610788141,1.0503365993499756,0.9490430355072021,7.189896056547752,0.0738356052611316,0.3889636993408203,0.19518248736858368,6.386586339916386,10.000000000000007,0.4351504445075989,2.553000000000002,0.12147986318594559,0.9257079362869263,1.0743519067764282,3.9747851361654654,0.0978577948528031,0.08016594499349594,0.07911425828933716,5.922928636493286,1.0280000000000007,0.11260644346475601,2.0060000000000016,0.6369489270033796,0.6427583694458008,1.4407840967178345,1.0276553799051271,0.07800859008290119
exposure_train_input_post,37.824601623882174,27.820660496236812,7.387721914400722,-1.051241173755453,8.628546380883112,6.045051920605651,5.232064752479671,13.338603398384288,6.398537154730231,0.08840123441699478,0.0570503441339118,7.20866675551386,3.9320000000000035,0.10521168000646942,3.335000000000003,0.24193758841793434,0.8590038928695024,1.1494748025568609,2.4010605444152078,0.03681757822501116,0.8451901256016381,0.11909351378567304,6.821441849499049,10.000000000000007,0.8535394049583132,2.260000000000002,-0.4149888567419137,1.2699261430925755,0.7564875322051392,50.36578418370949,0.016781037748142713,0.5092824845124203,0.19028553105295512,7.347296860026395,10.000000000000007,0.5436699211237791,2.8990000000000027,-0.08252556499659863,1.0506537904921345,0.9506650645852461,7.163230660904948,0.07109675907715102,0.3359076410892177,0.1813259740271376,7.258669077757167,10.000000000000007,0.3817234940259108,2.8320000000000025,0.20482686926779747,0.8791072096218984,1.1276980438351762,3.431805906821361,0.09788072233966903,0.15480987439836194,0.11909351378567304,6.821441849499049,1.8900000000000015,0.19531836732195762,2.260000000000002,0.4149888567419134,0.7564875322051394,1.2699261430925752,1.6897563521477104,0.09161668438268974
pingpong_input,36.50031344113343,20.089248741024452,7.0417225927070035,0.8888968032697775,7.260479967053854,6.4622682975783174,-26.42765180548154,15.155878581694237,6.968771735636117,0.08615770936012268,0.05777151510119438,7.037011132079005,3.1860000000000026,0.10373134911060333,3.347000000000003,0.2187544278131827,0.8720939755439758,1.13467538356781,2.2244698977408603,0.03873179399287369,0.8499317765235901,0.11941896378993988,6.741116426838463,10.000000000000007,0.8582789897918701,2.359000000000002,-0.4012249098792056,1.2600677013397217,0.7656837701797485,50.66258466861109,0.016776321462628925,0.527697741985321,0.19780854880809784,7.1787195272094255,10.000000000000007,0.563548743724823,2.8500000000000023,-0.09221379899354704,1.0568512678146362,0.9449867010116577,7.117805360250941,0.07413770130744876,0.32223406434059143,0.18096989393234253,7.1026908903560555,10.000000000000007,0.36956721544265747,2.7180000000000026,0.23303617157785897,0.8628854751586914,1.146592140197754,3.1709980915571947,0.10161913297550786,0.15006820857524872,0.11941896378993988,6.741116426838463,1.7120000000000013,0.1917790323495865,2.359000000000002,0.40122495825227505,0.7656837105751038,1.2600677013397217,1.5794163364853517,0.09501498578303665
exposure_images_dark_old_input,29.457070078724175,20.554560230765023,5.6080269913354845,5.847503536819673,5.847048472953361,5.532364146939777,-16.245324307139295,10.866803795603083,5.563232995397204,0.04867057502269745,0.04683908447623253,5.348883224111753,1.0850000000000009,0.06750530749559402,4.893000000000004,0.5763517278001771,0.6954935193061829,1.375379204750061,1.0825738603193855,0.04495820390216337,0.9204628467559814,0.0879359170794487,5.2289580446122805,10.000000000000007,0.92464280128479,2.027000000000002,-0.6669568534454906,1.4617949724197388,0.6271518468856812,109.85537809235757,0.008378860485462193,0.5711283683776855,0.20172272622585297,5.459003252914757,10.000000000000007,0.6056178212165833,3.4940000000000033,-0.1055500811797703,1.0633673667907715,0.9369820356369019,8.037096792636987,0.07106152105173974,0.3493344783782959,0.1914132833480835,5.432341606713809,10.000000000000007,0.3982178270816803,3.2250000000000028,0.13768048377620523,0.9165675640106201,1.0822033882141113,3.3394904199332274,0.10460711599764617,0.07953716069459915,0.0879359245300293,5.2289580446122805,0.8290000000000006,0.11848455667495728,2.027000000000002,0.6669568058158809,0.6271519064903259,1.4617949724197388,0.8202549682313851,0.09696638673411977
exposure_images_dark_input_post,28.564537050929125,17.108813327664123,6.320117386632657,7.088052100313549,6.088391838016224,6.066505786487209,-18.05613746001839,10.906416875507592,6.088274452600923,0.06720328161540745,0.05508872811869341,6.163969974850747,1.5790000000000013,0.0868789156866342,4.873000000000005,0.4223641056745276,0.7689311799360596,1.2672381177535903,1.4897032365584735,0.04511185850053002,0.8864141868393881,0.10819462492877555,6.039693157611138,10.000000000000007,0.8929861242426257,2.4350000000000023,-0.5711940559996657,1.385475021514054,0.6836858236489607,67.19025913997417,0.013192599614666838,0.5479347195237245,0.1949287581153292,6.273903272555355,10.000000000000007,0.5815417660288724,2.501000000000002,-0.09052786492812297,1.055247051343054,0.944281990814139,7.909519469285319,0.06927534873028568,0.33847946731566364,0.1870746806198377,6.2078623025816375,10.000000000000007,0.3866904469146331,2.364000000000002,0.21514240716331695,0.870961539670771,1.1360050806061859,3.2770187317763644,0.10328884117552328,0.11358581316061192,0.10819462492877555,6.039693157611138,1.1070000000000009,0.156830623320479,2.4350000000000023,0.5711940559996654,0.6836858236489609,1.385475021514054,1.1032682054430625,0.10295394410917233
both_pingpong_old_input_post,48.62417378901275,28.22853959146331,6.7679207687850615,1.468659628720896,10.616454814428685,6.2354626794544625,-19.02706835155358,16.29804844497562,6.388527276276951,0.05447157806383754,0.04652228019877053,6.462650852307257,1.420000000000001,0.07162688584746082,2.104000000000002,0.5423649803634669,0.6884324232004984,1.3643964408174425,1.3716130357066856,0.03971351733017948,0.910076584151837,0.08995558137838978,6.165604842210014,10.000000000000007,0.914509385033691,1.442000000000001,-0.6542342297334104,1.469662321996422,0.6116123151893077,102.40315238779205,0.008887193049540646,0.5388358172930574,0.19494036312594115,6.779084530098753,10.000000000000007,0.5729983339647177,2.650000000000002,-0.09717664938382511,1.0594559645853971,0.9409130194215185,7.6440416749412625,0.07049095755972547,0.37124076685877955,0.19119790640551304,6.751784632382957,10.000000000000007,0.41756240823237123,3.030000000000003,0.15532778357356547,0.9083388277856772,1.095959718585835,3.7718875106609193,0.09842307486888173,0.08992341584816302,0.08995558137838978,6.165604842210014,1.0000000000000007,0.12717801308019228,1.442000000000001,0.6542342297334099,0.611612315189308,1.4696623219964218,0.9997767594519624,0.08994349488325318
exposure_bin_new_medium_input_post,39.66329633409847,21.908006716328295,7.032619070226874,-2.141197228347322,7.992535288489551,6.4348962607606515,-8.14049201848226,9.783851991953885,6.331375673509581,0.11299296913113155,0.053984175996418346,7.094708779217324,10.000000000000007,0.1252250649582712,2.8910000000000027,0.13880301146737414,0.9170251655349674,1.0852333769259086,4.381545546949441,0.025788381729775815,0.7965666697267902,0.12085022561886956,6.833549768931119,10.000000000000007,0.8056806468809146,2.279000000000002,-0.3226178542285047,1.207373218806928,0.8085446288184682,43.45170001134498,0.01833223255980345,0.485565781653595,0.1888823633690283,7.217196245868259,10.000000000000007,0.5210047571844973,2.8830000000000027,-0.060459001166670044,1.0369262142781497,0.9636445038594424,6.609532982513906,0.07346446154943193,0.3110008880731952,0.1713903987895699,7.125402627060574,10.000000000000007,0.35509482699027783,2.7110000000000025,0.1976927719221226,0.8815598881755814,1.1222864477135326,3.293121257166808,0.09443954952960358,0.20343333027320978,0.12085022561886956,6.833549768931119,9.264000000000006,0.2366177620232017,2.279000000000002,0.3226178542285043,0.8085446288184684,1.2073732188069277,2.8340449153856127,0.07178197112148794
both_pingpong_input,43.01720018182318,24.880210361526938,7.3184880703480335,4.819113921000861,12.47635365359843,6.585345986222747,-26.97568034566873,19.84317387544719,6.8375393789101855,0.10961303859949112,0.05432332679629326,7.219421095264053,10.000000000000007,0.12233524769544601,2.7780000000000022,0.14147603890295074,0.9150648713111877,1.0870155096054077,4.071656728782727,0.026920993415099365,0.8034102320671082,0.12006758153438568,6.977686692836126,10.000000000000007,0.8123320937156677,2.201000000000002,-0.33201114631323897,1.2145345211029053,0.802675724029541,44.775721665356286,0.017942987871739355,0.48595356941223145,0.18418678641319275,7.299912106453378,10.000000000000007,0.5196865797042847,2.9130000000000025,-0.07959906776590109,1.0489505529403687,0.9525406360626221,6.961326071549593,0.06980761007604805,0.31745657324790955,0.17041876912117004,7.222416303972013,10.000000000000007,0.3603053390979767,2.6800000000000024,0.21094682495797012,0.874906063079834,1.1320035457611084,3.4701899529768667,0.09148103752957226,0.196589857339859,0.12006758153438568,6.9777159337798125,6.153000000000006,0.23035438358783722,2.201000000000002,0.33201018533308857,0.8026763200759888,1.2145339250564575,2.6809586240915593,0.07332819833675434
edge_pingpong_input_post,30.324387375382248,20.594471741606995,7.17095998257389,1.574639234306862,8.479802024685492,6.3560074096291785,-21.48626380697081,15.653093214752163,6.809062656170911,0.09642827955941778,0.05559945977138474,7.190168373073843,10.000000000000007,0.11130848138619448,3.0580000000000025,0.21956688312365877,0.8710527695779362,1.136105069083465,3.0080611388331286,0.03205662222571172,0.8298446902401797,0.11966722253315722,6.866993739747327,10.000000000000007,0.8384281893538282,2.159000000000002,-0.39917122279069395,1.2604275367133164,0.7642791361079193,48.09082003789189,0.017255781656173166,0.50563442603407,0.19035727214166404,7.291187306023221,10.000000000000007,0.5402781519047354,2.9050000000000025,-0.09519241960866448,1.058861206314496,0.9435421925707235,7.055914199099914,0.07166107916938264,0.32421026420610954,0.17446833776777715,7.211186467379342,10.000000000000007,0.36817138267287064,2.8000000000000025,0.21561748851020485,0.873010115477848,1.1349175664753997,3.4533392081007546,0.09388312142797481,0.17015530975982038,0.11966722253315722,6.866993739747327,2.5800000000000023,0.20802030723652826,2.159000000000002,0.39917122279069306,0.76427913610792,1.260427536713316,2.0218994567919175,0.08415616770074229
edge_drjohnson_old_input,31.20079784977227,25.41604160617976,7.117234129612729,3.3109598719733775,7.144151006590839,6.215475511706253,10.094319043626458,10.932877321071828,6.52194441037543,0.045818012207746506,0.046735044568777084,6.684665102554209,0.9620000000000006,0.06544791162014008,2.2940000000000023,0.5983526829754856,0.666114866733551,1.4053457975387573,0.9611524215398539,0.04766986865297262,0.9246785640716553,0.08803902566432953,6.203017754006131,10.000000000000007,0.9288602471351624,1.444000000000001,-0.6959681380727277,1.5065112113952637,0.593936562538147,110.31543844112548,0.008382132461476592,0.5450258851051331,0.19739405810832977,7.352241826797865,10.000000000000007,0.5796698927879333,2.8790000000000027,-0.10628009149317626,1.0654425621032715,0.9366087317466736,7.623794634254466,0.07149011132667708,0.379652738571167,0.1965121030807495,7.346803798591964,10.000000000000007,0.42749589681625366,2.9410000000000025,0.15180919953637462,0.9099883437156677,1.093734860420227,3.7324974877358272,0.10171546727690484,0.07532135397195816,0.08803901821374893,6.203026847815555,0.7500000000000004,0.11586235463619232,1.444000000000001,0.6959693199555207,0.5939357280731201,1.506511926651001,0.7319661952820447,0.10290278238155784
edge_playroom_input_post,47.37597445735069,24.194962520647664,7.419013083220609,16.318130793957078,14.603691058086136,6.414448689702862,36.21344610816424,21.56820609289337,6.85008030181326,0.08374746142584844,0.05786601867611,7.171285068083979,2.7750000000000026,0.10179435880712684,3.7030000000000034,0.2582850708659037,0.8504684996961845,1.1587791837094463,2.094589592083986,0.03998275449393642,0.8533259243687746,0.11923356956794043,6.764884310147555,10.000000000000007,0.8616157404626436,2.385000000000002,-0.4281677666827395,1.2777668039757704,0.7507172122109148,51.21953507045813,0.01666016536844644,0.5049886513998398,0.1903081466243635,7.3336332142554905,10.000000000000007,0.5396577540842662,2.9150000000000027,-0.0777360132408393,1.0476931005174088,0.9535442834000126,7.041275242493414,0.07171835129413523,0.3483372729689344,0.18537231546296645,7.294226334304458,10.000000000000007,0.3945903268601131,2.8400000000000025,0.1912979833438807,0.8868265995446892,1.118949845011577,3.531124171586194,0.09864769859182268,0.1466740756312256,0.11923356956794044,6.764884310147555,1.613000000000001,0.18902337282844336,2.385000000000002,0.42816776668273687,0.7507172122109165,1.2777668039757688,1.513256235098839,0.09692613334690507
exposure_train_old_input_post,39.21205862679462,27.735803712132657,7.4329097507212785,-1.2860337399716213,8.557607892195387,6.115611666683472,5.584999221511863,12.861433341749134,6.3897851688768315,0.07081336771859978,0.05383480891494258,7.033871315320779,1.9610000000000014,0.08895328880310498,3.1130000000000027,0.3583368965842846,0.7939892991009416,1.226052640742775,1.7302503977258206,0.040926658830233095,0.8797002651354958,0.10758892120267467,6.587197157384647,10.000000000000007,0.8862549318332693,1.9780000000000015,-0.5164377752086684,1.3467145767550637,0.6986357853069877,66.8558095035041,0.013158172366298074,0.5349327397101856,0.19580051494845807,7.34915420342789,10.000000000000007,0.569640634886816,2.9430000000000027,-0.11431328627012498,1.0704707863581577,0.9321150808428911,7.46406667818007,0.07166773325779237,0.3447675254253103,0.1875542496915545,7.291409930070244,10.000000000000007,0.3924803860522661,2.878000000000003,0.20453754324567774,0.8793171357091435,1.1272658717879611,3.3791206397564704,0.10202877084913942,0.12029973486450408,0.10758892120267467,6.587197157384647,1.271000000000001,0.16139167862006065,1.9780000000000015,0.5164377752086695,0.6986357853069869,1.3467145767550643,1.2502562847360332,0.0962200601054391
